no,kode,tgl,jam,nama_tr,jenis_tr,tipe_tr,alokasi_tr,nominal,officer,source
90,K0090,2024-12-23,18:16:25,WHEEL CYLINDER BZ010 & BZ030 SANYCO,KREDIT,CASH,BEBAN,300000,ADMIN2,PRABU MOTOR
91,K0091,2024-12-23,18:17:30,FILTER ASSY, 23300-TT201-8M INNOVA,KREDIT,CASH,BEBAN,105000,ADMIN2,TAMA MOTOR
92,K0092,2024-12-23,18:18:58,COIL ASSY, 19070-BZ031-001 W/IGNITER DGP,KREDIT,CASH,BEBAN,343000,ADMIN2,TAMA MOTOR
93,D0093,2024-12-23,18:43:37,"TRANSFER PEMBAYARAN SERVICE [WO-00054 ~ AB8043UE ~ 2412232075]",DEBET,BANK,-,2687000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
94,K0094,2024-12-24,09:24:14,"PEMBAYARAN PO SPAREPART [PO-00009 ~ PO-00009/SPR/12/2024], Nota: PAYSPR/PO-00009/12/2024/0007",KREDIT,CASH,PEMBAYARAN PO,2680000,ADMIN2,PEMBAYARAN PO SPAREPART
95,D0095,2024-12-24,14:43:05,"TRANSFER PEMBAYARAN SERVICE [WO-00059 ~ B1692VMP ~ 2411280535]",DEBET,BANK,-,1602000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
96,D0096,2024-12-24,14:45:33,"DP SERVICE #WO-00062 (Tgl. 24-12-2024)",DEBET,CASH,-,55000,ADMIN2,DP SERVICE
97,K0097,2024-12-24,15:09:47,BUSH LOW ARM & KLIP BUMPER MOBILIO,KREDIT,CASH,BEBAN,308000,ADMIN2,NIA AUTOPARTS
98,K0098,2024-12-24,19:10:18,CLEANING SERVIS,KREDIT,CASH,BEBAN,75000,ADMIN,JASA KEBERSIHAN
99,K0099,2024-12-26,13:39:52,"PEMBAYARAN PO SPAREPART [PO-00010 ~ PO-00010/SPR/12/2024], Nota: PAYSPR/PO-00010/12/2024/0008",KREDIT,CASH,PEMBAYARAN PO,359585,ADMIN2,PEMBAYARAN PO SPAREPART
100,K0100,2024-12-26,13:41:22,"PEMBAYARAN PO SPAREPART [PO-00011 ~ PO-00011/SPR/12/2024], Nota: PAYSPR/PO-00011/12/2024/0009",KREDIT,CASH,PEMBAYARAN PO,359585,ADMIN2,PEMBAYARAN PO SPAREPART
102,D0101,2024-12-26,14:51:42,"DP SERVICE #WO-00065 (Tgl. 26-12-2024)",DEBET,CASH,-,1,ADMIN2,DP SERVICE
103,D0103,2024-12-26,14:56:19,"DP SERVICE #WO-00066 (Tgl. 26-12-2024)",DEBET,CASH,-,56000,ADMIN2,DP SERVICE
104,K0104,2024-12-27,16:35:25,MOTOR RADIATOR AE1168000-9291 DENSO,KREDIT,CASH,BEBAN,550000,ADMIN2,SURYA MOTOR
105,K0105,2024-12-27,16:35:43,AUTO SEALER HITAM ,KREDIT,CASH,BEBAN,20000,ADMIN2,SURYA MOTOR
106,K0106,2024-12-27,16:36:20,KABEL TIS - AMPLAS 1000 - TBA,KREDIT,CASH,BEBAN,50000,ADMIN2,EKA JAYA
107,K0107,2024-12-27,16:38:20,KABEL TIS BESAR,KREDIT,CASH,BEBAN,32500,ADMIN2,EKO DADI
108,K0108,2024-12-27,16:39:14,SILICON RTV 5699 GREY 80ML LOCTITE,KREDIT,CASH,BEBAN,76000,ADMIN2,PASTECH
109,K0109,2024-12-27,16:39:54,DOUBLE TIP HIJAU,KREDIT,CASH,BEBAN,10000,ADMIN2,ELLA DIGITAL
110,D0110,2024-12-28,16:54:19,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00071 ~ AB1279GQ ~ 2412282090]",DEBET,BANK,-,774000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
111,K0111,2024-12-28,17:23:28,"PEMBAYARAN PO SPAREPART [PO-00012 ~ PO-00012/SPR/12/2024], Nota: PAYSPR/PO-00012/12/2024/0010",KREDIT,CASH,PEMBAYARAN PO,375000,ADMIN2,PEMBAYARAN PO SPAREPART
112,D0112,2024-12-28,18:14:25,"TRANSFER PEMBAYARAN SERVICE [WO-00077 ~ AB8043UE ~ 2412232075]",DEBET,BANK,-,150000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
113,D0113,2024-12-30,10:26:36,"TRANSFER PEMBAYARAN SERVICE [WO-00068 ~ AB1317IW ~ 2412272088]",DEBET,BANK,-,820000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
114,D0114,2024-12-30,12:21:43,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00078 ~ AB1652SE ~ 2411281044]",DEBET,BANK,-,1174000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
115,K0115,2024-12-30,16:43:57,"PEMBAYARAN PO SPAREPART [PO-00014 ~ PO-00014/SPR/12/2024], Nota: PAYSPR/PO-00014/12/2024/0011",KREDIT,CASH,PEMBAYARAN PO,295260,ADMIN2,PEMBAYARAN PO SPAREPART
116,K0116,2024-12-30,16:52:22,"PEMBAYARAN PO SPAREPART [PO-00015 ~ PO-00015/SPR/12/2024], Nota: PAYSPR/PO-00015/12/2024/0012",KREDIT,CASH,PEMBAYARAN PO,250000,ADMIN2,PEMBAYARAN PO SPAREPART
117,K0117,2024-12-30,16:56:53,BELT, V-RIBBED 9004A-91049-001 DAIHATSU,KREDIT,CASH,BEBAN,125000,ADMIN2,PRABU MOTOR
118,K0118,2024-12-31,16:23:34,KARTU GANTUNGAN OLI (TRANSFER),KREDIT,CASH,BEBAN,17600,ADMIN2,PIC STORY
119,K0119,2024-12-31,17:13:40,GAJI KRYWN (Bln. 12/2024 - PKL),KREDIT,CASH,BEBAN,1000,ADMIN,GAJI_KRYWN
120,K0120,2024-12-31,17:59:33,GAJI KRYWN (Bln. 12/2024 - DICKY),KREDIT,CASH,BEBAN,2840594,ADMIN,GAJI_KRYWN
121,K0121,2024-12-31,18:03:51,GAJI KRYWN (Bln. 12/2024 - EGA),KREDIT,CASH,BEBAN,1867801,ADMIN,GAJI_KRYWN
122,K0122,2024-12-31,18:05:11,GAJI KRYWN (Bln. 12/2024 - ANDI),KREDIT,CASH,BEBAN,1956467,ADMIN,GAJI_KRYWN
127,D0127,2025-01-02,20:18:32,"TRANSFER PEMBAYARAN SERVICE [WO-00090 ~ AB1787MH ~ 2411281632]",DEBET,BANK,-,824000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
126,K0126,2025-01-01,19:10:55,TEMPAT TINGGAL,KREDIT,CASH,BEBAN,650000,ADMIN,KOS
125,K0125,2025-01-01,05:15:59,IKLAN,KREDIT,CASH,BEBAN,60000,ADMIN,INSTAGRAM
128,D0128,2025-01-02,20:19:24,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00085 ~ AB1705CF ~ 2501022101]",DEBET,BANK,-,687000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
129,D0129,2025-01-02,20:45:09,"TRANSFER PEMBAYARAN SERVICE [WO-00089 ~ AB8043UE ~ 2412232075]",DEBET,BANK,-,230000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
130,D0130,2025-01-02,20:45:48,"TRANSFER PEMBAYARAN SERVICE [WO-00087 ~ AB1730IJ ~ 2501022103]",DEBET,BANK,-,710000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
131,K0131,2025-01-02,21:01:01,EVITA - 2 GALON MINERAL,KREDIT,CASH,BEBAN,24000,ADMIN2,EVITA 
132,K0132,2025-01-02,21:01:35,MASTER CYLINDER & RADIATOR ASSY,KREDIT,CASH,BEBAN,1850000,ADMIN2,PRABU MOTOR
133,K0133,2025-01-02,21:09:51,IURAN SAMPAH BULANAN,KREDIT,CASH,BEBAN,150000,ADMIN2,PAK JONO
134,K0134,2025-01-03,06:05:39,"PEMBAYARAN PO SPAREPART [PO-00016 ~ PO-00016/SPR/01/2025], Nota: PAYSPR/PO-00016/01/2025/0013",KREDIT,CASH,PEMBAYARAN PO,360000,ADMIN,PEMBAYARAN PO SPAREPART
135,K0135,2025-01-03,06:45:55,"PEMBAYARAN PO SPAREPART [PO-00017 ~ PO-00017/SPR/01/2025], Nota: PAYSPR/PO-00017/01/2025/0014",KREDIT,CASH,PEMBAYARAN PO,162000,ADMIN,PEMBAYARAN PO SPAREPART
136,D0136,2025-01-03,11:24:22,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00084 ~ AB1042UF ~ 2501022100]",DEBET,BANK,-,1780000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
137,D0137,2025-01-03,19:51:45,"DP SERVICE #WO-00082 (Tgl. 03-01-2025)",DEBET,CASH,-,111000,ADMIN2,DP SERVICE
138,D0138,2025-01-03,19:52:12,"TRANSFER PEMBAYARAN SERVICE [WO-00082 ~ H1455ZS ~ 2501022098]",DEBET,BANK,-,2640000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
139,D0139,2025-01-03,19:53:10,"TRANSFER PEMBAYARAN SERVICE [WO-00083 ~ AB1939GR ~ 2501022099]",DEBET,BANK,-,2119000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
140,D0140,2025-01-03,20:00:12,"TRANSFER PEMBAYARAN SERVICE [WO-00091 ~ KH1360TF ~ 2411281317]",DEBET,BANK,-,878000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
141,D0141,2025-01-03,20:00:41,"DP SERVICE #WO-00092 (Tgl. 03-01-2025)",DEBET,CASH,-,10000,ADMIN2,DP SERVICE
142,D0142,2025-01-03,20:02:18,"TRANSFER PEMBAYARAN SERVICE [WO-00093 ~ AB1466IV ~ 2412132029]",DEBET,BANK,-,1250000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
143,K0143,2025-01-03,20:24:15,ENGINE MOUNTING CR-V,KREDIT,CASH,BEBAN,550000,ADMIN2,PRABU MOTOR
144,K0144,2025-01-03,20:24:45,HOUSING THERMOSTAT CR-V,KREDIT,CASH,BEBAN,440000,ADMIN2,PETRA MOTOR
145,K0145,2025-01-03,20:25:11,PACKING DEKLEP XPANDER,KREDIT,CASH,BEBAN,85000,ADMIN2,PRABU MOTOR
146,K0146,2025-01-03,20:25:35,OIL FILTER MAZDA 2,KREDIT,CASH,BEBAN,106000,ADMIN2,MAZDA JOGJA
147,K0147,2025-01-03,20:26:31,PEMBUATAN FORM GENERAL CHECK CARSPEED,KREDIT,CASH,BEBAN,100000,ADMIN2,HAPPY ROLITASARI
148,K0148,2025-01-03,05:33:55,POTONGAN,KREDIT,CASH,BEBAN,36500,ADMIN,KARTU KREDIT
149,K0149,2025-01-04,08:39:04,"PEMBAYARAN PO SPAREPART [PO-00018 ~ PO-00018/SPR/01/2025], Nota: PAYSPR/PO-00018/01/2025/0015",KREDIT,CASH,PEMBAYARAN PO,1296000,ADMIN2,PEMBAYARAN PO SPAREPART
150,K0150,2025-01-04,11:02:06,"PEMBAYARAN PO SPAREPART [PO-00019 ~ PO-00019/SPR/01/2025], Nota: PAYSPR/PO-00019/01/2025/0016",KREDIT,CASH,PEMBAYARAN PO,450000,ADMIN2,PEMBAYARAN PO SPAREPART
151,K0151,2025-01-04,11:08:13,BUSI SC16HR11 GENUINE,KREDIT,CASH,BEBAN,450000,ADMIN2,TAMA MOTOR
152,D0152,2025-01-04,16:14:25,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00096 ~ AB1343IL ~ 2411280026]",DEBET,BANK,-,1090500,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
153,K0153,2025-01-04,20:06:17,IKLAN,KREDIT,CASH,BEBAN,150000,ADMIN,INSTAGRAM
154,K0154,2025-01-04,20:07:07,IKLAN,KREDIT,CASH,BEBAN,300000,ADMIN,NEON BOX
155,K0155,2025-01-04,20:07:48,TOKOPEDIA,KREDIT,CASH,BEBAN,66500,ADMIN,ALAT
156,K0156,2025-01-06,08:59:33,"PEMBAYARAN PO SPAREPART [PO-00020 ~ PO-00020/SPR/01/2025], Nota: PAYSPR/PO-00020/01/2025/0017",KREDIT,CASH,PEMBAYARAN PO,18476000,ADMIN2,PEMBAYARAN PO SPAREPART
157,K0157,2025-01-06,09:04:56,"PEMBAYARAN PO SPAREPART [PO-00021 ~ PO-00021/SPR/01/2025], Nota: PAYSPR/PO-00021/01/2025/0018",KREDIT,CASH,PEMBAYARAN PO,30000,ADMIN2,PEMBAYARAN PO SPAREPART
158,K0158,2025-01-06,19:26:19,IKLAN,KREDIT,CASH,BEBAN,100000,ADMIN,FACEBOOK
159,K0159,2025-01-07,11:06:16,"PEMBAYARAN PO SPAREPART [PO-00022 ~ PO-00022/SPR/01/2025], Nota: PAYSPR/PO-00022/01/2025/0019",KREDIT,CASH,PEMBAYARAN PO,188000,ADMIN,PEMBAYARAN PO SPAREPART
160,D0160,2025-01-07,15:19:32,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00099 ~ AB1468NH ~ 2501072109]",DEBET,BANK,-,1213500,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
161,K0161,2025-01-07,15:31:37,"PEMBAYARAN PO SPAREPART [PO-00023 ~ PO-00023/SPR/01/2025], Nota: PAYSPR/PO-00023/01/2025/0020",KREDIT,CASH,PEMBAYARAN PO,1326000,ADMIN2,PEMBAYARAN PO SPAREPART
162,K0162,2025-01-07,15:35:38,SELANG VACUM 1 METER,KREDIT,CASH,BEBAN,10000,ADMIN2,SURYA MOTOR
163,K0163,2025-01-07,15:36:27,MOTOR FAN PICANTO 2017 MANDO,KREDIT,CASH,BEBAN,1085000,ADMIN2,ARYA MOTOR KIA SPECIALIST
164,K0164,2025-01-07,16:57:07,HAND TAP SENAI M5 X 0,8,KREDIT,CASH,BEBAN,23000,ADMIN2,PASTECH
165,K0165,2025-01-08,11:24:01,"PEMBAYARAN PO SPAREPART [PO-00024 ~ PO-00024/SPR/01/2025], Nota: PAYSPR/PO-00024/01/2025/0021",KREDIT,CASH,PEMBAYARAN PO,27000,ADMIN,PEMBAYARAN PO SPAREPART
166,D0166,2025-01-08,12:26:07,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00102 ~ AB1042UF ~ 2501022100]",DEBET,BANK,-,1590000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
167,K0167,2025-01-08,16:15:47,WHEEL CYLINDER RH GRANMAX,KREDIT,CASH,BEBAN,150000,ADMIN2,PRABU MOTOR
168,K0168,2025-01-08,16:16:07,WHEEL CYLINDER LH GRANMAX,KREDIT,CASH,BEBAN,150000,ADMIN2,NIA AUTOPARTS
169,K0169,2025-01-08,16:16:40,LAS ALUMUNIUM KARBU CIVIC LX,KREDIT,CASH,BEBAN,50000,ADMIN2,RAJAWALI LAS
170,K0170,2025-01-08,16:17:09,SEAL ORING 4PCS,KREDIT,CASH,BEBAN,5000,ADMIN2,CENTRAL BEARING
171,K0171,2025-01-08,16:17:43,PAKU 5CM 1/2 ONS,KREDIT,CASH,BEBAN,2000,ADMIN2,EKA JAYA
172,K0172,2025-01-08,17:47:33,MOTOR, COOLING FAN 16363-0Y050 SIENTA,KREDIT,CASH,BEBAN,670000,ADMIN2,TAMA MOTOR
173,K0173,2025-01-08,19:14:39,KALENDER CARSPEED,KREDIT,CASH,BEBAN,142000,ADMIN,PROMOSI
174,K0174,2025-01-09,11:30:33,"PEMBAYARAN PO SPAREPART [PO-00024 ~ PO-00024/SPR/01/2025], Nota: PAYSPR/PO-00024/01/2025/0022",KREDIT,CASH,PEMBAYARAN PO,27000,,PEMBAYARAN PO SPAREPART
175,K0175,2025-01-09,13:51:29,EVITA AIR MINUM 2 GALON ,KREDIT,CASH,BEBAN,24000,ADMIN2,EVITA 
176,K0176,2025-01-09,13:52:18,SELANG PU HITAM 8X6 PUB 0860 SON JACK 3 METER,KREDIT,CASH,BEBAN,23500,ADMIN2,PASTECH
177,K0177,2025-01-09,13:54:31,TYRE-185/70R14-ECOPIA EP150-BRIDGESTONE 3PCS - TRANSFER,KREDIT,CASH,BEBAN,2265000,ADMIN2,SETIAWAN SPOORING
178,D0178,2025-01-09,16:32:50,"DP SERVICE #WO-00112 (Tgl. 09-01-2025)",DEBET,CASH,-,437500,ADMIN2,DP SERVICE
179,D0179,2025-01-09,16:59:27,"TRANSFER PEMBAYARAN SERVICE [WO-00110 ~ AB1317IW ~ 2412272088]",DEBET,BANK,-,5254000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
182,K0182,2025-01-10,17:47:44,MUR AS RODA FR AVANZA,KREDIT,CASH,BEBAN,55000,ADMIN2,PRABU MOTOR
181,K0181,2025-01-10,17:42:47,"PEMBAYARAN PO SPAREPART [PO-00025 ~ PO-00025/SPR/01/2025], Nota: PAYSPR/PO-00025/01/2025/0023",KREDIT,CASH,PEMBAYARAN PO,750000,ADMIN2,PEMBAYARAN PO SPAREPART
183,K0183,2025-01-10,17:48:02,PACKING HEAD COVER FREED,KREDIT,CASH,BEBAN,125000,ADMIN2,PRABU MOTOR
184,K0184,2025-01-10,17:48:44,BEARING RODA FR NSK AVANZA,KREDIT,CASH,BEBAN,400000,ADMIN2,LAKSA BARU
185,K0185,2025-01-10,17:49:16,PERTALITE 90 1L ,KREDIT,CASH,BEBAN,10000,ADMIN2,PERTAMINA 4455210
186,K0186,2025-01-10,17:49:47,SEKRING 10 AMPERE 3 PCS FLOSER ,KREDIT,CASH,BEBAN,9000,ADMIN2,ANDI SULISTIANTO
187,K0187,2025-01-10,18:01:26,PAKU BAJA,KREDIT,CASH,BEBAN,2500,ADMIN2,EKA JAYA
188,K0188,2025-01-10,18:01:55,KLEM 17MM,KREDIT,CASH,BEBAN,17500,ADMIN2,EKA JAYA
189,K0189,2025-01-10,18:19:32,TIPS PAK POMAL TNI ,KREDIT,CASH,BEBAN,102000,ADMIN2,POMAL VITARA
190,K0190,2025-01-11,17:08:28,UNIT ASSY, HEADLAMP LH 81170-BZ140,KREDIT,CASH,BEBAN,878000,ADMIN2,TAMA MOTOR
191,K0191,2025-01-11,17:09:20,CALIPER KIT & PISTON CALIPER LH,KREDIT,CASH,BEBAN,275000,ADMIN2,KONDANG JAYA MOBIL
192,K0192,2025-01-11,17:09:41,PISTON CALIPER RH,KREDIT,CASH,BEBAN,95000,ADMIN2,PRABU MOTOR
193,K0193,2025-01-11,17:10:14,PERTALITE 1L - ANDI,KREDIT,CASH,BEBAN,10000,ADMIN2,SPBU SULTAN AGUNG
194,K0194,2025-01-11,17:11:00,RADIATOR, THERMOSTAT, CAP RADIATOR,KREDIT,CASH,BEBAN,1160000,ADMIN2,PETRA MOTOR
195,K0195,2025-01-11,17:21:27,PARKIR DI TAMA MOTOR ,KREDIT,CASH,BEBAN,2000,ADMIN2,TAMA MOTOR
198,K0198,2025-01-12,06:19:39,LISTRIK,KREDIT,CASH,BEBAN,3132471,ADMIN,REKENING LISTRIK
197,K0197,2025-01-11,06:14:04,TELKOM,KREDIT,CASH,BEBAN,632700,ADMIN,SPEEDY
199,K0199,2025-01-12,06:21:28,CLEANING SERVIS 10 JAN,KREDIT,CASH,BEBAN,75000,ADMIN,JASA KEBERSIHAN
200,K0200,2025-01-13,08:24:35,"PEMBAYARAN PO SPAREPART [PO-00026 ~ PO-00026/SPR/01/2025], Nota: PAYSPR/PO-00026/01/2025/0024",KREDIT,CASH,PEMBAYARAN PO,41625,ADMIN,PEMBAYARAN PO SPAREPART
