no,kode,tgl,jam,nama_tr,jenis_tr,tipe_tr,alokasi_tr,nominal,officer,source
12,D0012,2024-12-13,16:43:43,"TRANSFER PEMBAYARAN SERVICE [WO-00010 ~ AA1012LE ~ 2412132021]",DEBET,BANK,-,1183000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
13,D0013,2024-12-13,16:45:14,"TRANSFER PEMBAYARAN SERVICE [WO-00013 ~ AD8012AJ ~ 2411280043]",DEBET,BANK,-,303500,ADMIN2,TRANSFER PEMBAYARAN SERVICE
14,D0014,2024-12-13,17:13:31,"TRANSFER PEMBAYARAN SERVICE [WO-00015 ~ B1512NOT ~ 2412132045]",DEBET,BANK,-,335000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
15,D0015,2024-12-13,17:19:19,"TRANSFER PEMBAYARAN SERVICE [WO-00012 ~ AB1272XU ~ 2412132043]",DEBET,BANK,-,654250,ADMIN2,TRANSFER PEMBAYARAN SERVICE
16,D0016,2024-12-13,20:33:58,"LAPORAN OMZET HARIAN (Tgl. 13-12-2024)",DEBET,CASH,-,507000,ADMIN2,OMZET HARIAN BENGKEL (CASH)
17,K0017,2024-12-13,08:56:30,DRAT BAUT TAP OLI,KREDIT,CASH,BEBAN,175000,ADMIN2,BENGKEL ABADI
18,D0018,2024-12-01,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 01-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
19,D0019,2024-12-02,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 02-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
20,D0020,2024-12-03,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 03-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
21,D0021,2024-12-04,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 04-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
22,D0022,2024-12-05,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 05-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
23,D0023,2024-12-06,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 06-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
24,D0024,2024-12-07,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 07-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
25,D0025,2024-12-08,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 08-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
26,D0026,2024-12-09,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 09-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
27,D0027,2024-12-10,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 10-12-2024)",DEBET,CASH,-,0,ADMIN2,LAP_HARIAN_BENGKEL
28,D0028,2024-12-11,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 11-12-2024)",DEBET,CASH,-,986000,ADMIN2,LAP_HARIAN_BENGKEL
29,D0029,2024-12-12,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 12-12-2024)",DEBET,CASH,-,120000,ADMIN2,LAP_HARIAN_BENGKEL
30,D0030,2024-12-13,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 13-12-2024)",DEBET,CASH,-,507000,ADMIN2,LAP_HARIAN_BENGKEL
31,D0031,2024-12-14,09:39:49,"LAPORAN OMZET HARIAN (Tgl. 14-12-2024)",DEBET,CASH,-,155000,ADMIN2,LAP_HARIAN_BENGKEL
32,K0032,2024-12-14,09:42:03,KRAN ,KREDIT,CASH,BEBAN,75000,ADMIN,EKA JAYA
